Step 0, size of queue 4
O.O#O.O.O.O.#.O.O.O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.#.O.O.O.O.O.O#O.O.O.O.#.#.O.O.O.O.#.#.O.O.O.O.O#O.O.O.O.O#O
.O.O.O.O.O.O.##O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.#.O.O.#.O.O.#.O.O.O.##O.O.O#O.O.O#O#O#O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O##.
O.O.O.O.O.#.O.O.O.#.O.O.O#O.#.##O.O.O.O#O.O.O.O.O#O.#.O.O.O#O#O.O.O.O.O.O.O.#.O.O#O.O.O.O.#.O#O.O#O.#.O.O.O.O.O.O.O.O#O.O#O.O.O.O.O
.O.O.O.O##.O.O.O.O#O.O#O.O.O#O.O.O.O.O.O.O.O##.O.O.O.O.O#O.O.O.O.O.O.O.O.O.#.#.O.O##.O#O.O.#.O.O#O#O.O.O.O.#.##O.O.O.#.O##.O.O.O.O.
O.O.O.O###O.O.O.#.O.#.O.#.O.O.O.O.O.O.O.O.O.O#O.O.O.O#O.O.O.O.O.O.O.O#O.#.O.O.O##.O#O.O.O.O.O.O#O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O
.O.O.O.O.#.O.O.O.O.O.O.O.O#O.O.O.#.O.O.O.O.O.O.O.O####.O#O.O#O.O#O.O.O#O.O.O.O.O.O.O.O.O.O#O#O.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.
O.O.O.O.O.O.#.O.O#O.O.O.O.O.O.O.O#O#O.#.O.O.O.#.O.O.O.O.O#O.O.O.#.##O.O.#.O.O.O.#.#.O.O.O.O.O#O.O.O.O.#.O.O##.O.O.#.O#O.O.O.O.O.O.O
.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.
O.O.O.O.O.O.O.O.#.#.O.O.#.O.O.O#O##.#.O.O.O#O.O.O.O.O.O#O.O.#.O.O.O.O#O.O.#.O.O.O.#.O.O##.O.O.O.O.O.O.O.O.O#O.O.O#O.O.O.O##.O.O.O.O
.O.O.O#O.#.O.O.O.O##.#.#.O#O.O.O.O.O#O.O.O.#.O.O#O#O.O.O##.O.O.#.O.O.O.#.O.O.O.O.#.#.O.#.O.O.O.O.O.O.O.O.O#O.O.##O.O.O.O.O.#.O.O.O.
O.O.O.O.O.O#O.O.O.O.O.O.#.O.O.O.#.O.O.O.O.O.O.#.#.#.O.O.O.O.O.#.O.O.O.O#O.#.O.O.O.O.O.#.O#O#O.O.O.#.#.O.O.#.O.O.O.O.O.O.O.O.O.O.O.O
.O.O.O.O.O.O.O.O.#.O.O.#.O##.O#O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O.O.O.O#O.#.O#O.O#O.O.O.#.O.O.O.O.O.O#O.O.O.O.#.O.O#O.O.O.O.O.
O.O.O.O.O.O#O.O#O.#.O.O.O.O.O.O.O.O.O.O#O.O.O.#.O.O.O.#.O.O.O.O#O.#.#.#.O.O.O#O.O.O.#.O.O.O.O.O.O.O.O.O.O.#.O.O.O.#.O.O.O#O.O.O.O.O
.O.O.O.O.O.O.#.O.O#O.O#O.O.O.O.O.O.O.O.O.O#O#O.O.#.O.O#O.O#O.O.O.O.O.O.#.O.O#O.O.O.O.O.O.##O.O.O.O.O.O.O.O.O.O#O.O.O.O#O.O.O.O.O.O.
O.O.O.O.O.O.O.O.#.O.O#O.###.O.O.##O.O.#.O.O.O.O#O.O.O.O.O.O.O.O.O.#.O.O.##O.O.O.O#O.O.O.O.O#O.#.O.O.O.#.O.O.O#O.O.O.O#O#O.O.O.O.O.O
.O.#.O.O.O.O.O.O.#.O#O.O.O.O.#.O.O.O.O.O.O.O.O#O.O#O#O#O.O.O#O#O#O#O.##O.O.O.O#O#O.O.O.O.O.O.O.O.O.#.O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.
O.#.O.O.O.O.O.##O.#.O.O#O.O.O#O#O.O.O.O.O.O.O#O.O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.#.O.O.O.O.O#O#O.#.O.O.O.O.O.O.O.O.O
.O#O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O.O.#.O#O.O.O#O.O.O.O.O.O.#.O#O.O##.#.O.O.O.O.#.O#O#O#O.O.O.O.O.O.O.O.O#O.
O.O.O.O.O.O.O.O#O.O.O.O.O.O#O.#.O.O#O.#.#.O.O.O#O.O.O.O.O.##O.#.O.#.#.O.##O.O##.O.O.#.O.#.O.#.O.O.O.O#O#O.O.O.O.O.O#O.O.O.O.O.#.#.O
.O.O.O#O.O.O.O.O.O.O.O.#.#.O.O.#.O.O.O.O.O.O.O.O.#.O#O.#.O.O.O.O.O.O.O#O.O.O.O.#.O.O.O.O.O.O.O#O#O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.
O.O.O.O.O.O.O.O.O.#.O.O.#.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O##.O.O.O.O.O.O.O#O.O#O.O.O.O#O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O.O.O.#.O
.#.O.#.O#O.O.O.O.O.O.O##.###.O#O.#.O#O#O.O.O#O.O.O.O###O.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O#O.O.O.#.O.O.O.O#O.#.O.O.O.O.O.O#O.O.#.O.
O.O.O.#.O.O.O.O.O.O#O.O#O#O.#.#.O##.O.O.O.O.O#O.O.#.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O#O#O.##O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O
.O.O.O.O.O.#.O.O.O.O.O.#.O.O.O.#.O.O.O#O.O.O.O#O.O.O.O.O.#.O##.O.O.O.#.O.O.O.O#O.O.O.O.O.O.O##.O.O##.O.O.#.O.O.O.O.O.O.O.O.O.O.O.O.
O.O.O.O.O.O.O.O.O.O.O.#.O.O.#.#.#.O.O##.O.O.O.O.O##.O.O.O.O.O.O.O.O.O.O.O.O#O.O.#.O.O.O.O.##O.##O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O
.O.O.O.O.#.O.#.O.O.O.O#O.O#O.O.O.O.O.O.O.O.O.O.O#O.O.O#O.O.O.O.#.O.O.O.O.O.O.##O.O.O.O.#.#.#.O.O.O.#.O.O.O.##O.O.O.O.O.O.O.O.O.O.#.
O#O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O.#.O#O.O.#.O.O.O.O#O.#.#.O.O##.O.O.O.O#O.O.#.O#O.O.#.##O.O#O.O.O.O.#.O.O#O.O.O.O.O.O#O.O.O.#.O.O
.#.O.#.O#O.O.#.O.O.O.O.O#O.O.#.O#O.##O#O.O.#.O.O.O.O.O.O.O.O.##O.O#O.O.O.O.O.O.O.O.O.O.O.#.O.#.O#O.O.O.O.O.O.O.O.O.O.#.#.O.O.O.O.O.
O#O.O#O.O###O.O.O.O.O.O.O.O#O.O.O.##O.O.#.#.O.O.O.O.O.O.##O.#.##O.O.O.O.O#O.O.###.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.#.O.O.O.O.O.O.O.O
.O.O#O.O.O###O.O.O.O.O.O.O.O.#.O.O.O.#.O.O.O.O#O.O.O.O.O#O.O.O.O#O.##O.O.O.O.O.O.O.O.O.O.O.O##.O.O.#.O.O.O.O.O.O.O.O#O.#.O.O.O.O.O.
O.O.O.O.O.O.O.O.O.##O.O.O.O.O#O.O.O.O.O#O.O.O.O.O.#.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.#.O.O.#.O#O.#.O.O.O.O.O.O.#.O.O.O.O.O.O#O
.O#O.O.O#O.O.O.O.O.##O.O.O.O.O.O#O.O#O.O.O###O.O.O.O.#.#.#.O.O.##O.#.O.O#O.#.O.O.O.#.O.O.O##.O#O.O.O.O.O.O.O.O.O.O.O.#.O#O#O.O.#.O.
O.O.##O##.O.O.O.O.O.O.O.O.O.O##.O.O.###.O.O.O.O.O.O#O.O.O.O.O.#.O.O.O.O.O##.O.O.O.O.O.#.O.O.O.O#O##.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O
.O.O.O#O#O.#.O.O.#.O.O.O.O.O.O.O.O.O.O#O.#.O.###.#.O.O.O.O#O.O.#.O.O.O.O.#.O.O.##O.O.O.O.O.O.O.O.O#O#O.O.O.O.O.#.#.O.O.O.O.O.O.O#O.
O#O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.#.O.#.O.O.O#O.#.O#O.O.O.O#O#O.#.O.O.O.O#O.##O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O
.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O##.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.#.O.O.O.O.O.O#O#O.O.O.O.O.O.O.##O.O.O#O.O.O.#.O.
O.O.O.O.O.O.O.O.O#O.O.#.O#O.O.O.O.O#O.##O#O.O##.O.O.O#O.O.O.O#O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O#O#O.O.O.#.O.O.O.#.O.O#O.O
.O#O.#.##O.O.O#O.O.O.O.O.O.O.O.O.O.O##..#O.##O.#.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.
O.O.O.O.#.O.O.O.##O.O#O.O#O#O.O.O.O.O.##O.O.O.O##.O.#.O.O#O.O.O#O.O.O.O.O.O.O.##O.O.#.O#O.O.O.O.O.O.O.O.O.O.O#O.O.O#O.#.O##.O#O#O.O
.O.O.O.O.O.O.#.#.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.O#O.O.O.O.O#O.#.O.O.O.O.O#O#O.##O.O.O.O.O#O.##O.O#O.O#O.O##.O.#.O.O.O.
O.#.O.O.O.O.O.#.O.O.O.O.O.O.O#O.O.O.O.#.O.O.O.#.#.O#O.O.O.O.O.O.#.O.#.O.O#O.O.O#O.O.O.O.#.O.O.O.O.O.O.O#O.O.O.O.#.O.O.#.O.O.O.O.O.O
.O.O.O.O.O.O.#.O.#.O.O.O#O.O.O#O.O.O.O#O.#.O.O#O.O.O#O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O#O.#.O.O.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.
O.O.O.O.#.O.#.O.O#O#O.O#O#O.O.O.O.O.O.O.O.O.#.O.O##.O#O.#.O#O.#.O.O#O.O.O.O.O.O#O#O.O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O#O#O#O.O.O.O.O#O
.O.O.#.O.O.O.O.O.O.#.O#O.O.O.#.O#O.O.O.O.#.O.O.O.O#O##.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O#O.O.#.O.O.O.##O#O.O.O.
O.O.#.##O.O.O.O.O.#.O.O###O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.##O.O.O.O.O.O.O.O#O.O.O.O.O.O#O.O.O.O.O.O.O.O##.O.O.O.O.O.O.O.O#O.O#O.O
.#.O.#.O.O##.O##.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O#O#O.#.O.O.#.O.O.#.O.#.O.O.O.O.O.#.O#O.O.O.O.#.O#O.O.O#O.O.O.O.O.
O.#.##O.#.O.O.O#O.O#O#O.O.#.O.O.O.O.O.O.O.O#O.O.O.O.O.O#O.O.O.O.O.#.O#O#O.O#O.O.O.O.#.O.O.O.O.O.O#O.O.#.O.O.O.O#O.O.O.O.O#O.O.O.O.O
.O.O.O.O.O.#.O.O.#.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O##.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O#O.O.#.O.O.O.
O.O.O#O.O#O.O.O#O.O.O.O.O.O.#.O.O.O.O.O.O.O.O.#.O.O.O#O.O#O#O.O.O.O.O.O.#.O.O.O#O.O.O.O.O.O.O.O.O.O.#.O#O.O.O.O.O.O.O.O.O.O.#.O.O.O
.O.#.#.O.O.O#O.O.O.O#O.O.O.O.#.O.O.O.O.O.O.O.O.O.O.#.O.O.#.O.O.O.O#O#O#O.O.O.O.O.#.O.O.O.O.O##.O.O.O.O.O.O.O#O.O.O#O.O.O.O.O.O.O.#.
O.O#O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O#O.O.O#O.O.O.O.#.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O#O.#.O.O#O.O.O.O
.O.O.O.O#O.O.O.O.O.O.#.O#O.O.O.O.O.O.O.O.O.O.O.O.O.###.O#O.O.O.O.O.O.O#O.#.O.O.##O.O.O.O.O.#.O#O.##O.O.#.O.O.O.O#O.O.O.O#O.O.O.O.O.
O.O#O.#.O.O.#.O.O#O.O.O.O.O#O.O#O#O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O#O.O#O.O.O##.O.O.O.O.O#O#O.O.O.O#O.O.O.O.O.O.##O.O.##O.O.O.O.O#O
.#.O#O.O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.##O.O.O.##O.#.O.O.O.O#O.#.O.#.O.O.O.O.O.O.O.O.O.##O.O.O.O.O.##O#O.#.O.O.#.##O.O.
O###O.O.#.O.O.#.O.O.O.O.O.O.O.O.O.#.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O#O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.##O#O.O#O.O.O.#.O.O.#.O.O.O#O#O
.O.O.O#O.O.O.O.O.O.O.O.O.O.O#O#O.O.O#O.#.O.O.O.O.O.O#O.O.O.O.#.O.O.O.O#O.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.##O#O.O.O.O.#.O.O.O.O.O.O.O.
O.O#O.#.O.O.O.O#O.O.O.O.O.O.O.#.O.O.O.O.O#O.O.O.O.O.O.O.O.#.O.#.O.O.O##.#.##O.O.O.O.O.#.O.O.O.O.O.O.O.O.O.O#O.O.#.O.#.O.#.O.O.O.O.O
.#.O.O.O.O.O.O.##O#O.#.O.O.O.O.##O.###.O##.O#O.O.O.O.O#O.##O.O.O.O.O.O.O.O.O#O.O.O.O.O#O.O.O.O.#.O.O.O.O.O.O.O#O.O.O.O####.O#O.#.O.
O.#.O.O.#.O.O.O.O.O.O.O#O.O.O.O.O.O.#.O#O.O#O.O.O.O.O.O.O.O.O#O.O.O.#.O.O.O.O.O.O.O.#.O.#.O.O.#.O.O.#.O#O#O.O##.O#O.O.O#O.O.O.O#O.O
.O.O##.O.O.O#O.O.O.O.O.O.O.#.O.O#O#O.O.###.O.O#O.O.O.O.O.O.O#O#O.O.O####.#.O.O.O.O.O#O#O.O.O.O.O.O.O.O#O.O.O.####O.O.O#O.O.O.O.#.O.
O.O.#.O.O.O.O.O.O.O.O#O.O.O.O.O.O.O#O.O#O.#.O##.O.O.O.O.O.#.O.O.O.O.O.#.#.O.O.O.O.O#O.O.O.O.O#O.#.O.O#O.#.O.O.O.O.O.O.O.O.O.O.O#O.O
.O.O#O.#.O.O.O.#.O#O#O.#.O.O.O.O.O.O.O.#.O#O.O.O.#.O.O.O.O#O.O.O.O.O.O.O#O.O.O.O.O.O#O.O.##O.O.O.O.#.#.O.#.#.O.O#O.O.O.O.#.##O##.O.
O#O.O.O.O.O.#.O.O.O.O.O.O.O#O#O.O.O.O.O.O.#.O.O.O.#.O.O.O.O.O.O.O.O.O.O#O.O.O.O.#.O.O.O.O.O.O.#.O.O.##O.#.O#O.#.O##.O.O.O.O.O.O.O.O
.O.O.O.O.O.O#O.O.O.O.O.O.#.O.#.O.O.O.#.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.#.O.O.O.O.O#O.O.O.O.O.O.O.O.O.O#O.#.O.
O.#.#.O#O.O.O.O.O.O.#.#.O#O.O.O.#.O.O#O.O.O.O.#.O#O.O.O.O.O.O.O.O.O#O.O.O.O.O#O#O#O.##O.O.O.#.#.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O.O
.O.O.O.O.O.O.O.O.#.O#O.#.O.O.O.#.O.O.O#O.#.O.O.O.#.O.O#O.O.O.O#O.O.O.O.O.O.O.O.O#O#O.O#O.O.O.O.O.O#O.O.O.O.O.O.O.O.O.#.O#O.O.O.O.#.
O.O.#.O.O.O.#.O.O.O#O.O.O.#.O.O.O.O.##O#O.O.#.O##.O.#.O.O.O.O.O.O.O.O.O.O.O.O.#.O.#.O.##O.###.O.O.O.#.O.O##.O.O.O.O##.#.O.O#O#O.O.O
.O.O.O.#.O.O.#.O.O.O#O.O.O.O.O.O.O.O.O.O.O#O.O.O.O.O.#.O#O.O.O.O#O.O.O.O.O.O.O.O.O.O.#.O.O.O.O.O.O.O#O.O.#.O.#.#.O#O.O.O.O.#.#.O#O.
O.O.O.O.O.O.O##.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.#.O#O.O.O.O.O.O.O.O.O.O.O.O.O.#.O#O#O.O.O#O##.O.O.O.O.#.O#O.O.O.O.#.O.O#O.O.O.##O.O.O
.O.O.O.O.O##.O.O.O.O.O.O#O#O.O.O.O.O.O#O#O.O.O.O.O.O.O.#.O#O.O.O.O.O.O.O.O.#.O#O#O.O#O.#.O.O.O.O.O.O#O.#.O.O.O#O.O.O#O.O.O#O.O.#.#.
O##.#.O#O.O.O.##O.O.O.#.O.O.O.O#O.#.#.O.O.O#O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.####O.##O##.O.O.O.O.O.O.#.O.O.O#O.O.O.O.O.O.O.#.O.O.O.O.O
.O.O.O.#.O.O.#.O.O.O#O.#.O.O.O.O.O.O#O.O.O.O.O.O#O.O.O###O.O.O.O.O.O.O.O.O#O.O#O#O.O.#.O.O.O.O.O.##O.O.O.O#O#O.O##.O.O.O.O.#.O.O#O.
O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O
Result part 1:  217777
--- 115.5758330821991 seconds ---
